e_J1,e_J2,e_J3,Xo,X2,S1,S2,v_J1,v_J2,v_J3
6.4,8.7,5.5,5.0,1.0,8.606933466282783,1.0115118443062328,2.025714625063694,2.0257146250636926,2.025714625063694
12.16,8.7,5.5,5.0,1.0,12.056403903506563,1.2111236104797056,2.321756088587155,2.3217560885871564,2.3217560885871555
6.4,16.529999999999998,5.5,5.0,1.0,6.870479906961102,1.3780519192728435,2.5331654609050394,2.533165460905039,2.5331654609050385
6.4,8.7,10.45,5.0,1.0,7.25320286284382,0.6288802080168554,2.414035693292638,2.4140356932926377,2.4140356932926377
6.4,8.7,5.5,9.5,1.0,13.961633237542843,1.3125121839672336,2.453604882194566,2.453604882194567,2.4536048821945675
6.4,8.7,5.5,5.0,1.9,9.573610981790582,1.3700665403135803,1.7762706967329536,1.7762706967329536,1.7762706967329538
