e_J1,e_J2,e_J3,Xo,X2,S1,S2,v_J1,v_J2,v_J3
6.4,8.7,5.5,5.0,1.0,8.606933466282783,1.0115118443062328,2.025714625063694,2.0257146250636926,2.025714625063694
6.464,8.7,5.5,5.0,1.0,8.661525274036977,1.014875362803081,2.031159117275251,2.0311591172752506,2.0311591172752506
6.4,8.786999999999999,5.5,5.0,1.0,8.577454816263078,1.0164264672682874,2.0336641289939394,2.0336641289939403,2.03366412899394
6.4,8.7,5.555,5.0,1.0,8.581939068204344,1.0032878003887562,2.032453494418809,2.0324534944188093,2.0324534944188093
6.4,8.7,5.5,5.05,1.0,8.672651624901816,1.0155599274254978,2.0322651256359907,2.03226512563599,2.0322651256359907
6.4,8.7,5.5,5.0,1.01,8.619654655705848,1.0157162205525323,2.0222906393532827,2.0222906393532822,2.0222906393532822
