e_J1,e_J2,e_J3,Xo,X2,S1,S2,v_J1,v_J2,v_J3
6.4,8.7,5.5,5.0,1.0,8.606933466282783,1.0115118443062328,2.025714625063694,2.0257146250636926,2.025714625063694
5.760000000000001,8.7,5.5,5.0,1.0,8.03120231643043,0.9755486600680531,1.966414872976161,1.9664148729761606,1.9664148729761606
6.4,7.829999999999999,5.5,5.0,1.0,8.923883143198946,0.9608324521037874,1.9415615406181366,1.9415615406181372,1.9415615406181368
6.4,8.7,4.95,5.0,1.0,8.879678073063433,1.1044815273971857,1.9531555501028655,1.9531555501028648,1.9531555501028646
6.4,8.7,5.5,4.5,1.0,7.9391009338238785,0.9697086952898272,1.9565937663905624,1.9565937663905633,1.956593766390563
6.4,8.7,5.5,5.0,0.9,8.476523220308673,0.9691304328639898,2.061043634689555,2.0610436346895544,2.0610436346895553
