e_J1,e_J2,e_J3,Xo,X2,S1,S2,v_J1,v_J2,v_J3
6.4,8.7,5.5,5.0,1.0,8.606933466282783,1.0115118443062328,2.025714625063694,2.0257146250636926,2.025714625063694
2.5600000000000005,8.7,5.5,5.0,1.0,4.078485414203561,0.6949603252714385,1.423565512548752,1.4235655125487525,1.423565512548752
6.4,3.48,5.5,5.0,1.0,11.616520486174613,0.6463919201121494,1.3122044214649282,1.3122044214691133,1.3122044214753594
6.4,8.7,2.2,5.0,1.0,11.44935946976966,2.3612313754337784,1.3473252253612313,1.3473252253612318,1.3473252253612316
6.4,8.7,5.5,2.0,1.0,4.1994918936202605,0.7047803604706309,1.445365633450248,1.4453656334449567,1.4453656334462253
6.4,8.7,5.5,5.0,0.4,7.7161750668115365,0.7463071351652938,2.2756630209903315,2.275663020990332,2.2756630209903315
