e_J1,e_J2,e_J3,Xo,X2,S1,S2,v_J1,v_J2,v_J3
6.4,8.7,5.5,5.0,1.0,8.606933466282783,1.0115118443062328,2.025714625063694,2.0257146250636926,2.025714625063694
10.88,8.7,5.5,5.0,1.0,11.48315925184121,1.179536833430058,2.278316155120839,2.278316155120838,2.278316155120838
6.4,14.79,5.5,5.0,1.0,7.147277832396694,1.3068778006309707,2.4465654938594477,2.446565493859393,2.4465654938594055
6.4,8.7,9.35,5.0,1.0,7.451813464937401,0.677694903449892,2.353927237249592,2.3539272372495925,2.353927237249592
6.4,8.7,5.5,8.5,1.0,12.851112612224872,1.2540504603414704,2.378947525355355,2.3789475253553554,2.3789475253553554
6.4,8.7,5.5,5.0,1.7,9.38481382841366,1.293394385879425,1.823334594128634,1.8233345941286336,1.8233345941286334
