e_J1,e_J2,Xo,X2,S1,v_J1,v_J2
6.4,8.7,5.0,1.0,2.234879156104567,2.744063073321749,2.7440630733217497
1.2800000000000002,8.7,5.0,1.0,0.6972798593946171,0.8804195881636692,0.880419588163669
6.4,1.74,5.0,1.0,6.795532602205273,1.0421375828420485,1.0421375828420483
6.4,8.7,1.0,1.0,0.9894805846672474,1.3193021163289644,1.3193021163289638
6.4,8.7,5.0,0.2,1.0886916719012232,3.8463412170642184,3.846341217064216
