e_vGLK,e_vPGI,e_vGLYCO,e_vTreha,e_vPFK,e_vALD,e_vGAPDH,e_vPGK,e_vPGM,e_vENO,e_vPYK,e_vPDC,e_vSUC,e_vGLT,e_vADH,e_vG3PDH,GLCo,ETOH,GLY,G6P,TRIO,ACE,P3G,PEP,GLCi,F6P,BPG,PYR,F16P,P2G,v_vGLK,v_vPGI,v_vGLYCO,v_vTreha,v_vPFK,v_vALD,v_vGAPDH,v_vPGK,v_vPGM,v_vENO,v_vPYK,v_vPDC,v_vSUC,v_vGLT,v_vADH,v_vG3PDH
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.24098182420310876,0.6939604133364174,0.1467040671715973,0.6559011422594796,0.7107185563223736,40.928145527626405,0.3691128225145076,0.6986934765314271,0.42431482396980436,0.5753831232579731,0.6151374177580189,2.261813466963064,1.0448552547393812,0.10844182089139895,0.5542581956671501,1.0448552547393724,1.0448552547393737,1.7010926780103914,1.7010926780103932,1.7010926780103999,1.70109267801041,1.7010926780104159,1.7010926780103979,0.24939691419171542,2.2618134669657044,1.202298849626926,0.3886178314683938
1.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.24414506137895214,0.7022763596305726,0.14732435924648762,0.6628769106465873,0.7168529682591965,40.3841237691233,0.3742512666352265,0.7066573101256048,0.42707203372399166,0.5832021907481493,0.6211418064449715,2.2831340667074325,1.050201506743721,0.10986527762052847,0.5615336411715899,1.0502015067437216,1.0502015067437207,1.7071282520943216,1.707128252094322,1.7071282520943214,1.707128252094322,1.707128252094321,1.7071282520943212,0.25045141071902893,2.283134066707428,1.2062254306562634,0.3932747613931207
1.0,1.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.23972516926090853,0.7125721471324362,0.14808121269265503,0.671487499077139,0.7243971656232131,40.78564718419516,0.38064968371907426,0.7165036868019521,0.4304510801781871,0.5929201116191196,0.6285398437684252,2.2673735142930735,1.0567614095254867,0.10787632616740885,0.5513678893000896,1.0567614095254865,1.0567614095254865,1.714482416656809,1.7144824166568082,1.714482416656808,1.7144824166568085,1.7144824166568085,1.7144824166568085,0.25173806157751355,2.267373514293074,1.2110062935017811,0.39904040239416433
1.0,1.0,1.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.24049747548953954,0.6926829833212889,0.14660805823414425,0.6548279079367385,0.7097729569161648,40.87324376465489,0.3683258249986683,0.6974692695917051,0.4238890368037762,0.574184399843688,0.6142127558944548,2.2639535884132456,1.0440301439925563,0.11363505716880744,0.5531441936259409,1.0440301439925563,1.0440301439925566,1.7001578173251908,1.7001578173251914,1.7001578173251912,1.7001578173251912,1.7001578173251914,1.7001578173251912,0.2492336989980452,2.2639535884132456,1.201690419329101,0.3879024706599218
1.0,1.0,1.0,1.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.23614207252719802,0.6811467438997809,0.14573209845615834,0.6451154019132953,0.701193361749513,40.37836168425653,0.3612465319477005,0.6864031798251795,0.4200162860320717,0.563387576311108,0.605834096447661,2.283361253049685,1.03653111010608,0.10626393263723911,0.5702831051531833,1.0365311101060797,1.0365311101060801,1.6916200436282827,1.6916200436282824,1.6916200436282827,1.6916200436282822,1.6916200436282827,1.6916200436282822,0.24774456737546915,2.2833612530496854,1.196130908877344,0.38144217658387736
1.0,1.0,1.0,1.0,1.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.240115765676355,0.7067473528116054,0.14765451874570548,0.6666196094648511,0.7201359067992732,40.82995780599041,0.3641348319471637,0.7109349689715851,0.42854405574371823,0.5874171642218833,0.6243592828654617,2.26564272907567,1.0530581124259049,0.10805209455435975,0.5522662610556165,1.0530581124253733,1.0530581124250666,1.7103377072778867,1.7103377072776864,1.710337707277662,1.7103377072777752,1.7103377072782557,1.7103377072790953,0.2510126818676993,2.2656427291006627,1.2083123435436203,0.39577851757449906
1.0,1.0,1.0,1.0,1.0,1.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.24017114878312407,0.7059243607384896,0.14759391821525839,0.6659310829443754,0.719532395454488,40.836239272812946,0.364452337813298,0.7101477753369657,0.42827363469273894,0.5616671748821709,0.623767590456524,2.2653975091673457,1.052533207812569,0.10807701695240583,0.5523936422011854,1.0525332078125695,1.052533207812569,1.7097487736115842,1.7097487736115842,1.7097487736115837,1.7097487736115848,1.7097487736115846,1.7097487736115842,0.25090966096593925,2.265397509167346,1.207929451679706,0.39531764201355424
1.0,1.0,1.0,1.0,1.0,1.0,1.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.2405917068746786,0.6802958004899883,0.14825113666322723,0.6734358050134543,0.7260999508869077,40.883927109036016,0.36686704759566613,0.7187340838095927,0.4312119696666723,0.5687641017735746,0.6302117288969264,2.263536940270099,1.0485488205529727,0.10826626809360537,0.5533609258117608,1.0485488205529725,1.0485488205529727,1.7161319928315524,1.7161319928315522,1.7161319928315524,1.7161319928315517,1.716131992831552,1.7161319928315517,0.2520269323274863,2.2635369402700993,1.2120781281765793,0.3809656482743935
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.24068652199828308,0.6836056501913621,0.14787529408041758,0.6691339389604375,0.7223381205430522,40.89467563165519,0.3674123482689574,0.6778429521753365,0.42953011889154075,0.5703696306573823,0.6265191902514953,2.2631178484888546,1.0476509123975248,0.10830893489922738,0.553579000596051,1.0476509123975253,1.047650912397525,1.7124826606878876,1.7124826606878876,1.712482660687888,1.712482660687887,1.7124826606878876,1.712482660687887,0.2513879999367099,2.2631178484888546,1.2097066608144678,0.3828191641071628
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.24077418827306277,0.6866723532056354,0.14752769718273248,0.631891930234252,0.7188733891332141,40.90461284569239,0.36791683044459655,0.6839978100269158,0.4279782525603587,0.5718559187458914,0.6231216005020968,2.2627304778343773,1.046820827055411,0.10834838472287825,0.5537806330280444,1.0468208270554107,1.046820827055411,1.7091051363156666,1.7091051363156653,1.7091051363156657,1.7091051363156662,1.709105136315666,1.7091051363156657,0.2507970852106452,2.2627304778343786,1.2075109658943757,0.38453651779515585
