e_J1,e_J2,e_J3,Xo,X2,S1,S2,v_J1,v_J2,v_J3
6.4,8.7,5.5,5.0,1.0,8.606933466282783,1.0115118443062328,2.025714625063694,2.0257146250636926,2.025714625063694
8.959999999999999,8.7,5.5,5.0,1.0,10.449254140178212,1.1211066123386402,2.1947484137040316,2.1947484137040307,2.194748413704031
6.4,12.179999999999998,5.5,5.0,1.0,7.6546277372352485,1.1906321060220912,2.2937096572546904,2.293709657254691,2.293709657254691
6.4,8.7,7.699999999999999,5.0,1.0,7.833449837924571,0.7781348702666082,2.2415640639143652,2.2415640639143657,2.2415640639143652
6.4,8.7,5.5,7.0,1.0,11.109950370302595,1.1586709907561719,2.248963022931099,2.2489630229311,2.248963022931099
6.4,8.7,5.5,5.0,1.4,9.076556163399458,1.1754221430157108,1.9018675215320555,1.9018675215320557,1.901867521532056
