e_J1,e_J2,e_J3,Xo,X2,S1,S2,v_J1,v_J2,v_J3
6.4,8.7,5.5,5.0,1.0,8.606933466282783,1.0115118443062328,2.025714625063694,2.0257146250636926,2.025714625063694
3.2,8.7,5.5,5.0,1.0,5.04132202930873,0.7703553498496837,1.585168691806708,1.585168691806708,1.5851686918067083
6.4,4.35,5.5,5.0,1.0,10.83875231528863,0.7204668070028764,1.4797093597771613,1.4797093597771616,1.479709359777161
6.4,8.7,2.75,5.0,1.0,10.666921381567217,1.8905912503143978,1.518168235655611,1.5181682356556108,1.518168235655611
6.4,8.7,5.5,2.5,1.0,5.018152742935685,0.7686088710636277,1.5815703524847968,1.5815703524847973,1.5815703524847973
6.4,8.7,5.5,5.0,0.5,7.8855255691555595,0.7925512145898679,2.226542197427093,2.2265421974270936,2.226542197427093
