e_J1,e_J2,e_J3,Xo,X2,S1,S2,v_J1,v_J2,v_J3
6.4,8.7,5.5,5.0,1.0,8.606933466282783,1.0115118443062328,2.025714625063694,2.0257146250636926,2.025714625063694
8.32,8.7,5.5,5.0,1.0,10.046571793582926,1.0977932364680913,2.160182654734262,2.1601826547342613,2.1601826547342617
6.4,11.309999999999999,5.5,5.0,1.0,7.856431902261826,1.1488250125310817,2.234925594467324,2.2349255944673243,2.234925594467324
6.4,8.7,7.15,5.0,1.0,7.991321501477962,0.8223873062114021,2.196247965857337,2.1962479658573364,2.196247965857337
6.4,8.7,5.5,6.5,1.0,10.506046267556549,1.1243683775914068,2.1995275237731136,2.1995275237731136,2.1995275237731127
6.4,8.7,5.5,5.0,1.3,8.96609662499842,1.1352127859240593,1.9305324122650669,1.9305324122650667,1.9305324122650667
