e_J1,e_J2,e_J3,Xo,X2,S1,S2,v_J1,v_J2,v_J3
6.4,8.7,5.5,5.0,1.0,8.606933466282783,1.0115118443062328,2.025714625063694,2.0257146250636926,2.025714625063694
4.4799999999999995,8.7,5.5,5.0,1.0,6.692008534971022,0.8879754028519803,1.8131818123327867,1.8131818123327872,1.8131818123327874
6.4,6.089999999999999,5.5,5.0,1.0,9.714089759014486,0.8495911069003448,1.7417478218443905,1.7417478218443907,1.7417478218443905
6.4,8.7,3.8499999999999996,5.0,1.0,9.589948228384365,1.376866354582792,1.772234235489135,1.7722342354891347,1.7722342354891352
6.4,8.7,5.5,3.5,1.0,6.5365765904216095,0.8774056341797197,1.793783601713322,1.7937836017133217,1.7937836017133222
6.4,8.7,5.5,5.0,0.7,8.196383377928681,0.882371041311593,2.138369475320469,2.138369475320469,2.138369475320469
