e_vGLK,e_vPGI,e_vGLYCO,e_vTreha,e_vPFK,e_vALD,e_vGAPDH,e_vPGK,e_vPGM,e_vENO,e_vPYK,e_vPDC,e_vSUC,e_vGLT,e_vADH,e_vG3PDH,GLCo,ETOH,GLY,G6P,TRIO,ACE,P3G,PEP,GLCi,F6P,BPG,PYR,F16P,P2G,v_vGLK,v_vPGI,v_vGLYCO,v_vTreha,v_vPFK,v_vALD,v_vGAPDH,v_vPGK,v_vPGM,v_vENO,v_vPYK,v_vPDC,v_vSUC,v_vGLT,v_vADH,v_vG3PDH
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.24098182420310876,0.6939604133364174,0.1467040671715973,0.6559011422594796,0.7107185563223736,40.928145527626405,0.3691128225145076,0.6986934765314271,0.42431482396980436,0.5753831232579731,0.6151374177580189,2.261813466963064,1.0448552547393812,0.10844182089139895,0.5542581956671501,1.0448552547393724,1.0448552547393737,1.7010926780103914,1.7010926780103932,1.7010926780103999,1.70109267801041,1.7010926780104159,1.7010926780103979,0.24939691419171542,2.2618134669657044,1.202298849626926,0.3886178314683938
1.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.24228255363038717,0.6973855755495788,0.14696053830916264,0.658776595020152,0.7132496611017665,40.70342958350672,0.37122605021222205,0.7019747929249105,0.4254535198251866,0.5786003763415605,0.6176136558990903,2.270589411901795,1.04706251606834,0.10902714913367423,0.5572498733498904,1.0470625160683402,1.0470625160683402,1.7035891098289162,1.7035891098289158,1.7035891098289155,1.7035891098289158,1.7035891098289162,1.703589109828916,0.24983291512557648,2.270589411901795,1.2039232795777628,0.3905359223077642
1.0,1.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.24046695979759874,0.7015408535020893,0.14726982419818602,0.6622606951111277,0.7163118927508706,40.869783880106596,0.37379573308307673,0.7059533396703362,0.42682918660974867,0.582509547184387,0.6206117955301677,2.264088544056432,1.0497303970785588,0.10821013190891944,0.5530740075344771,1.0497303970785583,1.049730397078559,1.706597916195948,1.706597916195948,1.7065979161959481,1.7065979161959477,1.7065979161959477,1.7065979161959477,0.2503587011369162,2.264088544056433,1.2058805139221154,0.39286287796117003
1.0,1.0,1.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.24078779350122578,0.6934488045008287,0.14666563909635963,0.6554713671189678,0.710339950553536,40.90615495886866,0.36879755686696725,0.6982032111983278,0.42414436914754755,0.5749029602939759,0.614767166370601,2.262670371010986,1.044524923688284,0.11052159721706264,0.5538119250528193,1.0445249236882843,1.0445249236882843,1.7007185168561045,1.7007185168561052,1.7007185168561045,1.700718516856105,1.7007185168561045,1.7007185168561045,0.24933158646381137,2.2626703710109832,1.2020553439284816,0.3883313305204641
1.0,1.0,1.0,1.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.23901654685162405,0.6887703690741735,0.14631277807323423,0.6515379366368061,0.7068712219758262,40.70521474471107,0.36591919257951305,0.6937182318064774,0.4225811406662816,0.5705167913848873,0.6113767673230767,2.2705195246950955,1.0414964407840455,0.10755744608323083,0.5607328189139099,1.0414964407840455,1.0414964407840455,1.6972814748865537,1.697281474886554,1.6972814748865537,1.697281474886554,1.697281474886554,1.6972814748865535,0.24873172272449817,2.270519524695097,1.1998180294375576,0.38571140668153725
1.0,1.0,1.0,1.0,1.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.24062701342797088,0.6991776735843324,0.14709417604524475,0.6602798017363234,0.714571474731038,40.88792968170519,0.3670700637654509,0.7036909683797944,0.4260475914453194,0.5802855092843253,0.6189074971865353,2.263380865878083,1.04821444806683,0.1082821560425869,0.553442130884333,1.0482144480668303,1.0482144480668296,1.7048893989264335,1.704889398926434,1.7048893989264335,1.7048893989264344,1.7048893989264338,1.7048893989264338,0.2500600992769161,2.2633808658780827,1.2047692003726018,0.39153949720722614
1.0,1.0,1.0,1.0,1.0,1.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.2406494848793841,0.6988463670467387,0.14706949877046638,0.660001968628464,0.7143272390473058,40.890477114015184,0.36719930083982183,0.7033737318395215,0.4259378532390937,0.5697422292748073,0.6186683949030443,2.2632815396480725,1.0480016410071835,0.10829226819572284,0.5534938152225833,1.048001641007183,1.0480016410071833,1.704649316468193,1.7046493164681935,1.7046493164681928,1.704649316468193,1.7046493164681928,1.704649316468193,0.2500181479097928,2.2632815396480725,1.2046130206486074,0.39135396554617374
1.0,1.0,1.0,1.0,1.0,1.0,1.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.24082192056642093,0.6883446965628677,0.147338401366062,0.663035670159739,0.7169923434049442,40.91002307182701,0.3681916291543838,0.7068386933169861,0.4271345776227679,0.5726659018040977,0.62127834410936,2.2625196128012663,1.0463689139408405,0.10836986425488943,0.5538904173027681,1.046368913940841,1.0463689139408405,1.7072647978064757,1.7072647978064754,1.7072647978064754,1.7072647978064757,1.7072647978064754,1.7072647978064759,0.25047528232230537,2.2625196128012663,1.2063142331618648,0.38547303007520595
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.2408606198047259,0.68970190261604,0.14718490939393208,0.6613023284040007,0.7154700734022035,40.91440925782458,0.3684144857732233,0.6900948665321441,0.4264512252469175,0.5733229799918402,0.6197873459444578,2.2623486783308886,1.0460025483169393,0.10838727891212666,0.5539794255508695,1.0460025483169402,1.0460025483169413,1.7057720311688955,1.7057720311688964,1.7057720311688962,1.705772031168895,1.705772031168895,1.7057720311688938,0.25021434596968456,2.2623486783307754,1.2053433392295254,0.38623306546498243
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.2408964303382095,0.690958872938109,0.1470428594482835,0.6459754299099398,0.7140636620362701,40.918467888017084,0.3686207566884428,0.6926294543528104,0.42581940933220236,0.5739313135906536,0.6184103756791796,2.2621905236795743,1.0456635504716174,0.10840339365219429,0.5540617897778818,1.0456635504716174,1.0456635504716176,1.7043901320978931,1.7043901320978931,1.7043901320978936,1.7043901320978931,1.7043901320978934,1.7043901320978934,0.24997286106208194,2.2621905236795747,1.2044444099737293,0.38693696884534107
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.02,1.0,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.24092967676887247,0.6921267656886081,0.1469109673084795,0.6498312168515846,0.7127598671922898,40.92223578443824,0.3688123007548434,0.6949870012928528,0.4252332862520314,0.5744963501944147,0.6058811766773626,2.262043710769811,1.0453488430831837,0.10841835454599262,0.5541382565684067,1.0453488430832174,1.0453488430832296,1.7031066973807005,1.7031066973807134,1.7031066973807085,1.703106697380693,1.703106697380664,1.7031066973806506,0.24974864442441513,2.262043710764637,1.2036094085318736,0.3875909887856206
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.02,1.0,1.0,1.0,1.0,1.0,50.0,50.0,0.15,0.2409260494030943,0.6919992990031605,0.146925358075759,0.6494099978555767,0.694230313148599,40.921824692473166,0.3687914002677139,0.6947295720680917,0.4252972142413867,0.5744346894275306,0.6052394010829234,2.2620597280291985,1.0453831785435337,0.10841672223139244,0.5541299136271168,1.0453831785435332,1.0453831785435328,1.7032467496452979,1.7032467496452979,1.7032467496452974,1.7032467496452974,1.703246749645298,1.7032467496452997,0.24977310872879027,2.2620597280291546,1.20370053218772,0.3875196074417699
