e_J1,e_J2,e_J3,Xo,X2,S1,S2,v_J1,v_J2,v_J3
6.4,8.7,5.5,5.0,1.0,8.606933466282783,1.0115118443062328,2.025714625063694,2.0257146250636926,2.025714625063694
11.520000000000001,8.7,5.5,5.0,1.0,11.779774456975934,1.1959488782827703,2.301034093615364,2.301034093615364,2.301034093615363
6.4,15.659999999999998,5.5,5.0,1.0,7.003780595066382,1.3430245975011625,2.4911690928512797,2.49116909285128,2.4911690928512797
6.4,8.7,9.9,5.0,1.0,7.347980461604305,0.6518903831345902,2.3852090959998367,2.385209095999837,2.3852090959998367
6.4,8.7,5.5,9.0,1.0,13.410920055378053,1.2837314737369223,2.4173027354445313,2.4173027354446766,2.4173027354446694
6.4,8.7,5.5,5.0,1.8,9.48073466979501,1.3319140363400768,1.7993266592237702,1.7993266592237702,1.79932665922377
